STATION,DATE,TMAX,TMIN,TOBS
USC00189035,3/25/49,64,46,47
USW00013710,3/25/49,58,47,
USW00013751,3/25/49,57,46,
USW00093725,3/25/49,58,49,
USC00186350,3/26/49,65,55,65
USC00182325,3/26/49,62,54,62
USC00189035,3/26/49,57,47,55
USW00013710,3/26/49,67,56,
USW00013751,3/26/49,66,54,
USW00093725,3/26/49,66,57,
USC00186350,3/27/49,83,60,83
USC00182325,3/27/49,82,55,82
USC00189035,3/27/49,67,55,65
USW00013710,3/27/49,82,64,
USW00013751,3/27/49,80,62,
USW00093725,3/27/49,83,64,
USC00186350,3/28/49,83,57,61
USC00182325,3/28/49,82,56,61
USC00189035,3/28/49,82,59,61
USW00013710,3/28/49,64,53,
USW00013751,3/28/49,62,53,
USW00093725,3/28/49,66,57,
USC00186350,3/29/49,76,44,75
USC00182325,3/29/49,76,40,73
USC00189035,3/29/49,63,39,58
USW00013710,3/29/49,75,46,
USW00013751,3/29/49,75,51,
USW00093725,3/29/49,75,45,
USC00186350,3/30/49,82,51,80
USC00182325,3/30/49,80,47,78
USC00189035,3/30/49,73,49,57
USW00013710,3/30/49,82,53,
USW00013751,3/30/49,83,53,
USW00093725,3/30/49,82,53,
USC00186350,3/31/49,80,49,49
USC00182325,3/31/49,,,
USC00189035,3/31/49,80,47,49
USW00013710,3/31/49,60,44,
USW00013751,3/31/49,67,44,
USW00093725,3/31/49,66,44,
USC00186350,4/1/49,49,40,47
USC00182325,4/1/49,52,41,52
USC00189035,4/1/49,53,38,39
USW00013710,4/1/49,50,41,
USW00013751,4/1/49,50,43,
USW00093725,4/1/49,52,40,
USC00186350,4/2/49,59,35,59
USC00182325,4/2/49,57,34,57
USC00189035,4/2/49,50,39,39
USW00013710,4/2/49,58,39,
USW00013751,4/2/49,64,44,
USW00093725,4/2/49,59,37,
USC00186350,4/3/49,62,40,58
USC00182325,4/3/49,62,42,62
USC00189035,4/3/49,57,39,44
USW00013710,4/3/49,62,44,
USW00013751,4/3/49,61,44,
USW00093725,4/3/49,63,46,
USC00186350,4/4/49,61,42,60
USC00182325,4/4/49,62,43,59
USC00189035,4/4/49,61,41,46
USW00013710,4/4/49,61,45,
USW00013751,4/4/49,58,45,
USW00093725,4/4/49,61,44,
USC00186350,4/5/49,61,33,53
USC00182325,4/5/49,59,33,53
USC00189035,4/5/49,60,36,44
USW00013710,4/5/49,56,40,
USW00013751,4/5/49,56,38,
USW00093725,4/5/49,56,42,
USC00186350,4/6/49,60,42,59
USC00182325,4/6/49,57,41,
USC00189035,4/6/49,55,40,43
USW00013710,4/6/49,59,44,
USW00013751,4/6/49,58,42,
USW00093725,4/6/49,60,42,
USC00186350,4/7/49,60,40,56
USC00182325,4/7/49,59,34,57
USC00189035,4/7/49,60,38,50
USW00013710,4/7/49,60,44,
USW00013751,4/7/49,60,42,
USW00093725,4/7/49,60,44,
USC00186350,4/8/49,61,40,54
USC00182325,4/8/49,58,36,55
USC00189035,4/8/49,59,39,48
USW00013710,4/8/49,58,43,
USW00013751,4/8/49,57,43,
USW00093725,4/8/49,58,43,
USC00186350,4/9/49,60,39,58
USC00182325,4/9/49,59,36,59
USC00189035,4/9/49,61,37,45
USW00013710,4/9/49,61,40,
USW00013751,4/9/49,59,40,
USW00093725,4/9/49,61,39,
USC00186350,4/10/49,63,38,62
