"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN","TOBS"
"USC00186350","38.9133","-76.97","15.2","1949-11-15","65","35","59"
"USC00186350","38.9133","-76.97","15.2","1949-11-16","60","32","53"
"USC00186350","38.9133","-76.97","15.2","1949-11-17","53","29","46"
"USC00186350","38.9133","-76.97","15.2","1949-11-18","46","37","45"
"USC00186350","38.9133","-76.97","15.2","1949-11-19","53","32","45"
"USC00186350","38.9133","-76.97","15.2","1949-11-20","69","43","63"
"USC00186350","38.9133","-76.97","15.2","1949-11-21","63","42","46"
"USC00186350","38.9133","-76.97","15.2","1949-11-22","46","29","36"
"USC00186350","38.9133","-76.97","15.2","1949-11-23","56","24","54"
"USC00186350","38.9133","-76.97","15.2","1949-11-24","58","32","54"
"USC00186350","38.9133","-76.97","15.2","1949-11-25","54","41","43"
"USC00186350","38.9133","-76.97","15.2","1949-11-26","43","28","36"
"USC00186350","38.9133","-76.97","15.2","1949-11-27","49","26","43"
"USC00186350","38.9133","-76.97","15.2","1949-11-28","45","24","42"
"USC00186350","38.9133","-76.97","15.2","1949-11-29","59","36","56"
"USC00186350","38.9133","-76.97","15.2","1949-11-30","59","37","56"
"USC00186350","38.9133","-76.97","15.2","1949-12-01","56","39","46"
"USC00186350","38.9133","-76.97","15.2","1949-12-02","49","31","43"
"USC00186350","38.9133","-76.97","15.2","1949-12-03","43","29","39"
"USC00186350","38.9133","-76.97","15.2","1949-12-04","51","19","49"
"USC00186350","38.9133","-76.97","15.2","1949-12-05","49","35","45"
"USC00186350","38.9133","-76.97","15.2","1949-12-06","49","30","46"
"USC00186350","38.9133","-76.97","15.2","1949-12-07","62","38","58"
"USC00186350","38.9133","-76.97","15.2","1949-12-08","58","35","39"
"USC00186350","38.9133","-76.97","15.2","1949-12-09","39","28","33"
"USC00186350","38.9133","-76.97","15.2","1949-12-10","41","19","40"
"USC00186350","38.9133","-76.97","15.2","1949-12-11","43","35","42"
"USC00186350","38.9133","-76.97","15.2","1949-12-12","56","39","56"
"USC00186350","38.9133","-76.97","15.2","1949-12-13","62","42","43"
"USC00186350","38.9133","-76.97","15.2","1949-12-14","43","33","37"
"USC00186350","38.9133","-76.97","15.2","1949-12-15","37","29","34"
"USC00186350","38.9133","-76.97","15.2","1949-12-16","36","16","33"
"USC00186350","38.9133","-76.97","15.2","1949-12-17","46","15","44"
"USC00186350","38.9133","-76.97","15.2","1949-12-18","44","30","44"
"USC00186350","38.9133","-76.97","15.2","1949-12-19","60","43","57"
"USC00186350","38.9133","-76.97","15.2","1949-12-20","57","38","51"
"USC00186350","38.9133","-76.97","15.2","1949-12-21","62","39","57"
"USC00186350","38.9133","-76.97","15.2","1949-12-22","68","47","65"
"USC00186350","38.9133","-76.97","15.2","1949-12-23","65","34","38"
"USC00186350","38.9133","-76.97","15.2","1949-12-24","43","25","38"
"USC00186350","38.9133","-76.97","15.2","1949-12-25","44","20","42"
"USC00186350","38.9133","-76.97","15.2","1949-12-26","54","32","53"
"USC00186350","38.9133","-76.97","15.2","1949-12-27","64","47","63"
"USC00186350","38.9133","-76.97","15.2","1949-12-28","64","40","50"
